institution_name,country_code,latitude,longitude
Kunming University of Science and Technology,CN,25.03889,102.71833
Resources For The Future,US,38.89511,-77.03637
Scottish Universities Environmental Research Centre,GB,55.86515,-4.25763
University of Massachusetts Lowell,US,42.63342,-71.31617
Ericsson (Canada),CA,43.5789,-79.6583
Athens Technology Center (Greece),GR,38.02369,23.80068
Vattenfall (Sweden),SE,59.32938,18.06871
Alabama Department of Public Health,US,32.36681,-86.29997
Boston Public Health Commission,US,42.35843,-71.05977
Canadian Space Agency,CA,45.5152,-73.46818
Department of Defence,AU,-37.814,144.96332
Earthquake Engineering Research Institute,US,37.80437,-122.2708
Natural England,GB,53.95763,-1.08271
New Jersey Department of Health,US,40.21705,-74.74294
New Mexico Department of Health,US,35.68698,-105.9378
New York City Department of Health and Mental Hygiene,US,40.71427,-74.00597
Oklahoma Department of Mental Health and Substance Abuse Services,US,35.46756,-97.51643
Oregon Department of Human Services,US,44.9429,-123.0351
Pennsylvania Department of Human Services,US,40.2737,-76.88442
Public Health – Seattle & King County,US,47.60621,-122.33207
United States Office of Personnel Management,US,38.89511,-77.03637
Veterans Health Administration,US,38.89511,-77.03637
Einstein Medical Center Philadelphia,US,39.95238,-75.16362
Alfred I. duPont Hospital for Children,US,39.74595,-75.54659
Beth Israel Deaconess Medical Center,US,42.35843,-71.05977
Cambridge Health Alliance,US,42.3751,-71.10561
Carolinas Medical Center,US,35.22709,-80.84313
Children's Hospital of Pittsburgh,US,40.44062,-79.99589
Children's Mercy Hospital,US,39.09973,-94.57857
Cincinnati Children's Hospital Medical Center,US,39.12711,-84.51439
Denver Health Medical Center,US,39.73915,-104.9847
Guy's Hospital,GB,51.50853,-0.12574
Hackensack University Medical Center,US,40.88593,-74.04347
Hahnemann University Hospital,US,39.95238,-75.16362
Harbor–UCLA Medical Center,US,33.83585,-118.34063
Kennedy Krieger Institute,US,39.29038,-76.61219
Legacy Emanuel Medical Center,US,45.52345,-122.67621
Legacy Good Samaritan Medical Center,US,45.52345,-122.67621
Maine Medical Center,US,43.65737,-70.2589
McLean Hospital,US,42.39593,-71.17867
Memorial Hospital of Rhode Island,US,41.87871,-71.38256
Miriam Hospital,US,41.82399,-71.41283
North Shore University Hospital,US,40.79788,-73.69957
Penn State Milton S. Hershey Medical Center,US,40.28592,-76.65025
Providence Portland Medical Center,US,45.52345,-122.67621
Roger Williams Medical Center,US,41.82399,-71.41283
Royal Darwin Hospital,AU,-12.46113,130.84185
Sanford USD Medical Center,US,43.54997,-96.70033
Scott & White Memorial Hospital,US,31.09823,-97.34278
St. Elizabeth's Medical Center,US,42.35843,-71.05977
St. Joseph's Hospital and Medical Center,US,33.44838,-112.07404
St. Luke's-Roosevelt Hospital Center,US,40.71427,-74.00597
Tan Tock Seng Hospital,SG,1.28967,103.85007
University of Alberta Hospital,CA,53.55014,-113.46871
University of Tennessee Medical Center,US,35.96064,-83.92074
Women & Infants Hospital of Rhode Island,US,41.82399,-71.41283
Library of Congress,US,38.89511,-77.03637
Beijing Museum of Natural History,CN,39.9075,116.39723
Exploratorium,US,37.77493,-122.41942
Franklin Institute,US,39.95238,-75.16362
Illinois State Museum,US,39.80172,-89.64371
Museum of the Earth,US,42.44063,-76.49661
Natural History Museum of Los Angeles County,US,34.05223,-118.24368
Oregon Museum of Science and Industry,US,45.52345,-122.67621
Science Museum of Minnesota,US,44.94441,-93.09327
American Society for Cell Biology,US,38.98067,-77.10026
Fenway Health,US,42.35843,-71.05977
Point Blue Conservation Science,US,38.23242,-122.63665
Rockefeller Foundation,US,40.71427,-74.00597
Central Connecticut State University,US,41.66121,-72.77954
Lowell Observatory,US,35.19807,-111.65127
Smithsonian Astrophysical Observatory,US,42.3751,-71.10561
Stuttgart Observatory,DE,48.78232,9.17702
Archbold Biological Station,US,27.35197,-81.32631
East–West Center,US,21.30694,-157.85833
Fields Institute for Research in Mathematical Sciences,CA,43.70643,-79.39864
Haskins Laboratories,US,41.30815,-72.92816
Hauptman-Woodward Medical Research Institute,US,42.88645,-78.87837
Gladstone Institutes,US,37.77493,-122.41942
Mathematical Sciences Research Institute,US,37.87159,-122.27275
Nathan Kline Institute for Psychiatric Research,US,41.04649,-73.94958
National Brain Research Centre,IN,28.4601,77.02635
New York Blood Center,US,40.71427,-74.00597
Pennington Biomedical Research Center,US,30.44332,-91.18747
Polytechnic University of the Philippines,PH,14.6042,120.9822
Population Council,US,40.71427,-74.00597
Raja Ramanna Centre for Advanced Technology,IN,22.71792,75.8333
Lunenfeld-Tanenbaum Research Institute,CA,43.70643,-79.39864
Smith-Kettlewell Eye Research Institute,US,37.77493,-122.41942
Social Science Research Council,US,40.71427,-74.00597
Stowers Institute for Medical Research,US,39.09973,-94.57857
Van Andel Institute,US,42.96336,-85.66809
Abilene Christian University,US,32.44874,-99.73314
Adelphi University,US,40.72677,-73.6343
Alabama State University,US,32.36681,-86.29997
Alcorn State University,US,31.71155,-91.06066
Allen University,US,34.00071,-81.03481
Alliant International University,US,32.71571,-117.16472
Antioch University,US,39.80645,-83.88687
Antioch University New England,US,42.93369,-72.27814
Aoyama Gakuin University,JP,35.6895,139.69171
Arcadia University,US,40.10233,-75.15212
Arkansas Tech University,US,35.27842,-93.13379
Armstrong Atlantic State University,US,32.08354,-81.09983
Ashland University,US,40.86867,-82.31822
Ashworth College,US,33.94121,-84.21353
Athens State University,US,34.80243,-86.97219
Atlanta University Center,US,33.749,-84.38798
Auckland University of Technology,NZ,-36.84853,174.76349
Augustana University,US,43.54997,-96.70033
Aurora University,US,41.76058,-88.32007
Baker University,US,38.77501,-95.18636
Bastyr University,US,47.75732,-122.24401
Belmont University,US,36.16589,-86.78444
Bemidji State University,US,47.47356,-94.88028
Benedictine University,US,41.80114,-88.07479
Bentley University,US,42.37649,-71.23561
Bethune-Cookman University,US,29.21081,-81.02283
Birmingham–Southern College,US,33.52066,-86.80249
Black Hills State University,US,44.49082,-103.85937
Blackburn College,US,39.27977,-89.88177
Bloomsburg University,US,41.0037,-76.45495
Borough of Manhattan Community College,US,40.71427,-74.00597
Bowie State University,US,38.94278,-76.73028
Brenau University,US,34.29788,-83.82407
Bridgewater State University,US,41.99038,-70.97504
Buena Vista University,US,42.64109,-95.20972
Government Medical College,IN,11.24802,75.7804
California Pacific University,US,33.11921,-117.08642
"California State University, Fresno",US,36.74773,-119.77237
Canisius College,US,42.88645,-78.87837
Capital University,US,39.96895,-82.93768
Carroll College,US,46.59271,-112.03611
Carroll University,US,43.01168,-88.23148
Central College,US,41.40805,-92.91631
Central State University,US,39.71617,-83.87771
Changzhi Medical College,CN,35.20889,111.73861
Charles R. Drew University of Medicine and Science,US,34.05223,-118.24368
Charleston Southern University,US,32.85462,-79.97481
Cheyney University of Pennsylvania,US,39.96097,-75.60804
Chiba Institute of Technology,JP,35.68184,140.04152
Chicago State University,US,41.85003,-87.65005
China Three Gorges University,CN,30.71444,111.28472
Chowan University,US,36.44238,-77.09858
