iso2,centroid.lon,centroid.lat,capital.lon,capital.lat
TV,178.0,-8.0,179.22,-8.52
TV,179.219,-8.514,179.22,-8.52
VI,-64.785,17.741,,
VI,-64.8333333333,18.3333333333,,
UG,32.5,1.25,32.55,0.32
UG,33.0,2.0,32.55,0.32
UG,32.0,1.0,32.55,0.32
UG,32.386,1.28,32.55,0.32
UA,32.0,49.0,30.52,50.43
UA,31.388,49.016,30.52,50.43
AE,54.0,24.0,54.37,24.47
AE,54.163,23.549,54.37,24.47
GB,-2.0,54.0,-0.08,51.5
GB,-2.9,54.16,-0.08,51.5
US,-97.0,38.0,-77.03,38.88
US,-98.606,39.622,-77.03,38.88
UM,-169.516666667,16.75,,
UM,-160.027,-0.385,,
UY,-56.0,-33.0,-56.17,-34.85
UY,-56.012,-32.8,-56.17,-34.85
UZ,63.833333,41.666667,69.25,41.32
UZ,64.0,41.0,69.25,41.32
UZ,63.17,41.75,69.25,41.32
VU,167.0,-16.0,168.32,-17.73
VU,166.899,-15.376,168.32,-17.73
VA,12.45,41.9,12.45,41.9
VA,12.451,41.904,12.45,41.9
VE,-66.0,8.0,-66.87,10.48
VE,-66.166,7.125,-66.87,10.48
VN,107.833333,16.166667,105.85,21.03
VN,105.314,21.491,105.85,21.03
VN,107.833333333,16.1666666667,105.85,21.03
WF,-176.2,-13.3,-171.93,-13.95
WF,-178.131,-14.289,-171.93,-13.95
EH,-13.706,24.554,,
EH,-13.0,24.5,,
YE,47.5,15.5,44.2,15.35
YE,48.0,15.0,44.2,15.35
YE,48.355,15.807,44.2,15.35
ZM,28.5,-14.33333,28.28,-15.42
ZM,30.0,-15.0,28.28,-15.42
ZM,26.32,-14.614,28.28,-15.42
ZW,30.73189,-20.129123,31.03,-17.82
ZW,29.0,-19.0,31.03,-17.82
ZW,29.75,-19.0,31.03,-17.82
ZW,29.872,-19.0,31.03,-17.82
ZW,30.0,-20.0,31.03,-17.82
TO,-174.941,-21.3672,,
WS,-171.919,-13.9005,,
CH,8.19995,47.4176,,
GB,-2.19814,57.1676,,
GB,-2.77785,57.236,,
NG,7.56019,5.57402,,
UG,33.7723,2.70787,,
GE,41.0701,43.1479,,
PH,120.798,17.5665,,
AZ,49.3694,40.3278,,
AE,54.0817,23.5238,,
YE,46.2119,13.8269,,
ID,96.9956,4.41533,,
BS,-74.0024,22.3745,,
SM,12.4052,43.9425,,
BR,-70.2976,-8.9285,,
OM,57.3411,22.474,,
EG,31.4929,31.0304,,
QA,51.5282,25.2686,,
CM,13.217,6.80472,,
NG,12.5768,9.47906,,
YE,44.7544,12.8087,,
TR,35.7555,37.4006,,
LV,24.3855,57.108,,
ET,38.7815,8.966,,
MV,73.1092,-0.624137,,
TR,38.339,37.8102,,
UG,31.7282,3.21788,,
DZ,-0.93557,25.7004,,
MR,-10.3339,20.7634,,
RU,40.1293,44.4658,,
